Date,Price,Open,High,Low,Vol.,Change %
01/20/2022,253.13,256.62,258.11,252.9,2.60M,-0.82%
01/19/2022,255.22,257.55,257.95,255.08,2.30M,-0.49%
01/18/2022,256.48,256.96,257.1,254.31,3.08M,-0.48%
01/14/2022,257.71,261.14,261.24,257.16,3.46M,-1.42%
01/13/2022,261.41,261.41,263.85,260.59,2.37M,0.19%
01/12/2022,260.92,263.37,263.95,260.28,3.04M,-0.46%
01/11/2022,262.12,263.49,263.95,260.32,3.21M,-0.87%
01/10/2022,264.41,266.71,266.72,262.01,3.12M,-0.99%
01/07/2022,267.06,268.56,270.17,267,2.21M,-0.98%
01/06/2022,269.69,268.12,270.76,267.8,2.91M,0.94%
01/05/2022,267.19,269.3,270.28,266.9,2.47M,-0.49%
01/04/2022,268.51,269.5,271.15,268.27,2.51M,-0.03%
01/03/2022,268.58,269.49,270.73,265.56,2.75M,0.19%
12/31/2021,268.07,268,269.12,267.21,1.52M,0.32%
12/30/2021,267.21,269,269.25,266.7,1.71M,-0.48%
12/29/2021,268.49,268.45,269.72,267.95,1.32M,0.23%
12/28/2021,267.88,267.58,269.22,267.25,1.30M,-0.13%
12/27/2021,268.24,266.47,268.26,266,1.49M,0.86%
12/23/2021,265.95,265.92,267.37,265.45,1.51M,0.38%
12/22/2021,264.94,264.32,265.44,264.07,1.80M,0.21%
12/21/2021,264.39,264.29,266.48,263.42,2.85M,1.02%
12/20/2021,261.73,259.63,261.96,258.43,2.82M,0.01%
12/17/2021,261.7,264,264.85,260.88,5.97M,-1.45%
12/16/2021,265.55,265.56,266.89,264.09,2.35M,0.39%
12/15/2021,264.52,262.16,265.67,261.41,2.64M,0.76%
12/14/2021,262.52,263,263.59,261.75,3.70M,-0.22%
12/13/2021,263.09,264.22,265.86,262.4,2.88M,-0.71%
12/10/2021,264.97,263.88,265.27,262.43,2.53M,1.00%
12/09/2021,262.34,259.5,263.1,258.36,2.96M,1.06%
12/08/2021,259.58,260,262.81,259.09,3.45M,-0.13%
12/07/2021,259.91,256.95,260.38,256.44,2.60M,1.61%
12/06/2021,255.79,252.4,256.93,252.37,3.62M,2.59%
12/03/2021,249.33,250.32,250.68,247.57,3.23M,0.21%
12/02/2021,248.8,245.66,250.34,245,3.29M,1.89%
12/01/2021,244.18,245.76,250.9,244.11,3.28M,-0.17%
11/30/2021,244.6,247.38,247.9,243.95,3.84M,-2.28%
11/29/2021,250.3,251.85,252.32,249.83,2.08M,0.12%
11/26/2021,250.01,252.51,253.16,248.27,2.57M,-2.76%
11/24/2021,257.11,254.5,257.79,254.05,2.64M,0.57%
11/23/2021,255.65,254.81,255.79,253.05,2.77M,0.86%
11/22/2021,253.48,252.67,255.45,252.21,2.44M,0.61%
11/19/2021,251.95,253.29,253.32,250.22,2.74M,-0.60%
11/18/2021,253.48,253.16,253.49,251.08,1.75M,0.31%
11/17/2021,252.69,252.41,253.34,250.52,1.41M,0.09%
11/16/2021,252.46,253.5,254.19,252.38,2.20M,-0.19%
11/15/2021,252.94,250.67,253.76,250.67,1.71M,0.91%
11/12/2021,250.67,250.15,251.01,248.89,1.63M,0.20%
11/11/2021,250.16,253.33,253.33,249.26,1.64M,-1.17%
11/10/2021,253.13,250.81,253.72,250.81,1.79M,0.19%
11/09/2021,252.65,252.91,253.69,250.45,2.26M,-0.18%
11/08/2021,253.1,254.78,255.65,251.93,2.47M,-0.63%
11/05/2021,254.71,254.69,257.53,254.62,3.22M,0.49%
11/04/2021,253.46,251.12,254.18,250.2,2.71M,1.22%
11/03/2021,250.4,247.99,251.12,247.91,2.40M,0.47%
11/02/2021,249.24,251.76,252.22,248.16,2.62M,-0.53%
11/01/2021,250.58,245.8,251.69,245.34,4.46M,2.05%
10/29/2021,245.55,243,246.09,242.47,4.33M,0.02%
10/28/2021,245.5,243.4,246.08,242.53,3.45M,1.14%
10/27/2021,242.73,241.05,244.62,238.85,5.25M,2.67%
10/26/2021,236.42,237.47,238.4,236.14,3.07M,-0.39%
10/25/2021,237.34,239.23,239.25,236.5,3.18M,-0.46%
10/22/2021,238.44,240.71,242.24,238,3.28M,-1.23%
10/21/2021,241.4,240.17,241.91,239.31,2.70M,0.70%
