Date,Price,Open,High,Low,Vol.,Change %
07/25/2024,184.35,179.45,188.35,179.45,6.13M,2.38%
07/24/2024,180.07,185.62,187,179.97,5.11M,-3.44%
07/23/2024,186.48,179.1,187.04,179,7.61M,4.24%
07/22/2024,178.9,181.36,182.72,177.23,4.88M,-0.43%
07/19/2024,179.67,181.4,181.5,177.39,5.12M,-0.31%
07/18/2024,180.23,184.24,187.37,179.88,5.35M,-2.49%
07/17/2024,184.84,185.32,188.45,183.79,4.90M,-0.65%
07/16/2024,186.05,180.05,187.44,179.2,8.55M,3.87%
07/15/2024,179.11,183.5,183.72,178.88,5.19M,-1.76%
07/12/2024,182.31,183.73,184.49,180.45,5.13M,-0.87%
07/11/2024,183.91,184.17,186.1,183.4,4.84M,0.10%
07/10/2024,183.73,183.6,184.9,182.8,3.58M,0.27%
07/09/2024,183.24,185.11,186.24,183.15,3.96M,-1.40%
07/08/2024,185.84,186.94,191.5,182.28,9.88M,0.55%
07/05/2024,184.83,184,185.38,182.23,3.29M,0.28%
07/03/2024,184.31,185.05,185.42,182.85,2.76M,-0.60%
07/02/2024,185.42,186.34,189.23,184.52,4.11M,-0.69%
07/01/2024,186.7,182.2,189.47,182.2,9.06M,2.58%
06/28/2024,182.01,182.6,184.43,180.65,5.90M,-0.27%
06/27/2024,182.51,178.91,183.68,178.01,8.20M,2.25%
06/26/2024,178.5,174.96,178.82,173.76,6.55M,1.94%
06/25/2024,175.1,176.29,178.76,173.29,7.70M,-2.23%
06/24/2024,179.1,176.15,180.6,175.59,7.39M,1.44%
06/21/2024,176.56,176.83,178.41,175.66,8.64M,0.15%
06/20/2024,176.3,173.02,176.65,172.04,5.48M,0.75%
06/18/2024,174.99,177.61,178,173.82,6.18M,-1.91%
06/17/2024,178.39,176.75,180.45,176.32,4.79M,0.63%
06/14/2024,177.27,178.9,180.29,175.22,5.11M,-1.90%
06/13/2024,180.7,181.74,183.87,178.99,4.20M,-1.08%
06/12/2024,182.67,186.5,187.16,181.71,5.25M,-1.53%
06/11/2024,185.5,189.32,189.32,182.75,5.01M,-2.43%
06/10/2024,190.12,190,192.63,189.6,4.39M,-0.06%
06/07/2024,190.24,190.46,191.98,189.66,3.37M,-0.62%
06/06/2024,191.42,188.83,192.1,187.35,5.94M,0.83%
06/05/2024,189.85,187.9,190.34,186.53,5.94M,0.65%
06/04/2024,188.62,185.05,188.84,183.25,7.18M,2.19%
06/03/2024,184.57,178.09,186.01,178.02,8.95M,3.92%
05/31/2024,177.61,173.12,177.9,172.21,5.77M,2.81%
05/30/2024,172.75,172.64,174.68,171.55,3.93M,0.64%
05/29/2024,171.65,173.61,175.83,171.61,3.67M,-1.96%
05/28/2024,175.08,174.73,178.49,173.38,5.27M,0.32%
05/24/2024,174.52,173.2,174.86,169.57,9.49M,1.34%
05/23/2024,172.21,185.79,186,171.61,17.12M,-7.55%
05/22/2024,186.28,184.6,186.82,183.41,3.79M,0.81%
05/21/2024,184.78,185.3,186.39,183.11,4.35M,-0.98%
05/20/2024,186.61,184.65,188.63,184.01,6.23M,0.90%
05/17/2024,184.95,183.25,185.38,181.22,5.56M,1.09%
05/16/2024,182.96,177.6,183.76,177.25,6.99M,3.37%
05/15/2024,176.99,180.14,180.67,176.17,5.86M,-2.09%
05/14/2024,180.76,180.23,183.66,179.63,4.69M,1.30%
05/13/2024,178.44,179.04,180.75,178.07,3.11M,-0.04%
05/10/2024,178.51,181.25,181.88,177.92,3.72M,-1.51%
05/09/2024,181.25,179.55,181.75,179.31,5.11M,0.50%
